site_name,image_date,image_product,class,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,ST_B10,NDSI,geometry
Gulkana,20210610,Landsat,1,1.293985,1.30856,1.271105,1.230955,1.017115,0.2317975,0.2419175,0.943195,0.691533549,POINT (-145.33071985472156 63.259574839897056)
Gulkana,20210610,Landsat,1,1.2666225,1.2775125,1.2324675,1.1902275,0.9915125,0.231385,0.2425775,0.946935,0.683868423,POINT (-145.32695501448595 63.26129990168499)
Gulkana,20210610,Landsat,1,1.1254925,1.147795,1.1297,1.0978,0.9007625,0.2393325,0.2446675,0.937255,0.650362574,POINT (-145.35987415738282 63.248649536421425)
Gulkana,20210610,Landsat,1,1.2044725,1.222155,1.184975,1.1468325,0.9456975,0.2479125,0.25168,0.9424525,0.653967949,POINT (-145.3643568638739 63.25961141754522)
Gulkana,20210610,Landsat,1,1.411135,1.43957,1.4124,1.37621,1.1300575,0.21571,0.2222275,0.9832625,0.735017904,POINT (-145.47223240397346 63.272909565779315)
Gulkana,20210610,Landsat,1,1.411575,1.4443825,1.4245825,1.394635,1.14906,0.21681,0.2225575,0.9869475,0.735821871,POINT (-145.47076744804986 63.27076091306838)
Gulkana,20210610,Landsat,1,1.33958,1.37082,1.35333,1.3156,1.0621875,0.21494,0.2211275,0.99132,0.725889037,POINT (-145.46235415407895 63.267826408411274)
Gulkana,20210610,Landsat,1,1.3852575,1.41955,1.4063225,1.376045,1.1284625,0.21736,0.222695,0.987305,0.732262927,POINT (-145.46723401203192 63.26935175629148)
Gulkana,20210610,Landsat,1,1.402775,1.43253,1.40965,1.3772825,1.1348425,0.2151325,0.2216775,0.9855175,0.735186094,POINT (-145.46808402050985 63.27245873296665)
Gulkana,20210610,Landsat,1,1.3658425,1.396395,1.377585,1.347225,1.11331,0.2162325,0.2225575,0.9950325,0.728660904,POINT (-145.4627555256862 63.2708777933148)
Gulkana,20210610,Landsat,1,1.32198,1.3567125,1.346125,1.3099625,1.052095,0.220055,0.223905,0.9918425,0.718991431,POINT (-145.4677524239702 63.26595479813829)
