site_name,image_date,image_product,class,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDSI,geometry
Gulkana,20210615,Sentinel-2_TOA,1,0.8967,0.9384,0.9052,0.9324,0.9266,0.8875,0.8401,0.7701,0.7766,0.3171,0.0019,0.0202,0.995810826,POINT (-145.49569281702372 63.29247372805911)
Gulkana,20210615,Sentinel-2_TOA,1,0.9183,0.9567,0.9304,0.9638,0.9627,0.9176,0.8713,0.7909,0.7948,0.319,0.0014,0.02,0.996995063,POINT (-145.49257738666037 63.29141745647592)
Gulkana,20210615,Sentinel-2_TOA,1,0.8859,1.0026,0.9752,1.0046,0.9704,0.9271,0.8789,0.8163,0.8023,0.2986,0.0015,0.0193,0.996928432,POINT (-145.4905759889095 63.291108002334575)
Gulkana,20210615,Sentinel-2_TOA,1,0.9297,0.9435,0.91,0.919,0.9044,0.8654,0.8117,0.7466,0.7459,0.2942,0.0012,0.0212,0.997366111,POINT (-145.4876366294234 63.290975941423696)
Gulkana,20210615,Sentinel-2_TOA,1,0.9104,0.9234,0.8873,0.9086,0.8747,0.8341,0.7878,0.7421,0.7331,0.2975,0.0013,0.0191,0.997074049,POINT (-145.489996449089 63.29177929048743)
Gulkana,20210615,Sentinel-2_TOA,1,0.6774,0.9768,0.9373,0.9556,0.8395,0.8478,0.7837,0.7768,0.6986,0.2399,0.0014,0.0206,0.997017151,POINT (-145.49250023597878 63.292281441917495)
Gulkana,20210615,Sentinel-2_TOA,1,0.8664,0.9045,0.8957,0.9279,0.9051,0.866,0.816,0.7473,0.7472,0.2707,0.0011,0.0171,0.997546833,POINT (-145.46528122747017 63.26957175526821)
Gulkana,20210615,Sentinel-2_TOA,1,0.8692,0.914,0.9077,0.9395,0.9197,0.8836,0.8288,0.7634,0.7573,0.2721,0.0012,0.0159,0.997359445,POINT (-145.46781724351231 63.26927473600342)
Gulkana,20210615,Sentinel-2_TOA,1,0.8642,0.9006,0.8863,0.9051,0.8773,0.8358,0.787,0.7191,0.7061,0.2645,0.0011,0.0174,0.997520847,POINT (-145.47081921881627 63.26969619422702)
Gulkana,20210615,Sentinel-2_TOA,1,0.8852,0.9303,0.911,0.9325,0.9149,0.8687,0.8076,0.7439,0.7344,0.2689,0.001,0.0172,0.997807018,POINT (-145.46912619467545 63.27039152310211)
Gulkana,20210615,Sentinel-2_TOA,1,0.9013,0.9342,0.9212,0.9446,0.9241,0.8833,0.8292,0.7523,0.7546,0.2733,0.0012,0.0167,0.997398092,POINT (-145.4674244909503 63.27124890233467)
Gulkana,20210615,Sentinel-2_TOA,1,0.8832,0.9149,0.8981,0.9158,0.9013,0.8627,0.8002,0.7272,0.7272,0.2625,0.001,0.0146,0.997775553,POINT (-145.46657087278336 63.272407289747854)
Gulkana,20210615,Sentinel-2_TOA,1,0.8195,0.8761,0.8605,0.8737,0.8559,0.8031,0.7523,0.6926,0.6844,0.2501,0.0007,0.0141,0.998374361,POINT (-145.464235386452 63.27163617291088)
Gulkana,20210615,Sentinel-2_TOA,1,0.8851,0.9123,0.8896,0.8973,0.8812,0.8356,0.7908,0.7244,0.7258,0.2695,0.0012,0.0151,0.997305793,POINT (-145.46920812817527 63.27292214988883)
Gulkana,20210615,Sentinel-2_TOA,1,0.9101,0.9419,0.9231,0.9391,0.9197,0.8788,0.8241,0.7509,0.7542,0.2826,0.0011,0.0167,0.997619563,POINT (-145.47119433862397 63.27213266872856)
Gulkana,20210615,Sentinel-2_TOA,1,0.8874,0.9255,0.9059,0.9252,0.8992,0.8563,0.8049,0.7439,0.7447,0.2741,0.0012,0.0172,0.997354206,POINT (-145.47283086690695 63.271144815703046)
Gulkana,20210615,Sentinel-2_TOA,1,0.8393,0.866,0.8327,0.8417,0.8144,0.7799,0.7356,0.6844,0.6825,0.2588,0.001,0.0196,0.997601056,POINT (-145.4770380306227 63.27329798497584)
Gulkana,20210615,Sentinel-2_TOA,1,0.9074,0.9394,0.9076,0.9328,0.9036,0.8737,0.8191,0.7604,0.7586,0.2852,0.0012,0.0199,0.997359155,POINT (-145.47380082590578 63.27323089980536)
Gulkana,20210615,Sentinel-2_TOA,1,0.8981,0.9225,0.8991,0.9164,0.8925,0.8554,0.8049,0.7446,0.7419,0.2781,0.001,0.0182,0.997778025,POINT (-145.47184547811023 63.27343696141364)
Gulkana,20210615,Sentinel-2_TOA,1,0.8957,0.921,0.8953,0.9061,0.8884,0.8472,0.8028,0.735,0.735,0.2789,0.0012,0.0168,0.997322922,POINT (-145.47053102753614 63.27377961073122)
Gulkana,20210615,Sentinel-2_TOA,1,0.8935,0.9324,0.9047,0.9193,0.8919,0.8527,0.8079,0.744,0.7451,0.2769,0.0012,0.0189,0.997350701,POINT (-145.47089768407443 63.27501598703434)
Gulkana,20210615,Sentinel-2_TOA,1,0.8827,0.9046,0.8732,0.8872,0.8738,0.8323,0.7927,0.7239,0.7271,0.2731,0.0013,0.0194,0.997026872,POINT (-145.47365691244684 63.27459152645099)
Gulkana,20210615,Sentinel-2_TOA,1,0.8551,0.8826,0.8458,0.8634,0.8507,0.8126,0.773,0.7091,0.7055,0.2653,0.0013,0.018,0.996930705,POINT (-145.47554205798576 63.27435225552737)
Gulkana,20210615,Sentinel-2_TOA,1,0.8062,0.7845,0.7451,0.7458,0.7282,0.6968,0.6567,0.6059,0.5996,0.2436,0.0012,0.0156,0.996784135,POINT (-145.4755370516422 63.275811667610114)
Gulkana,20210615,Sentinel-2_TOA,1,0.835,0.8356,0.8019,0.805,0.7828,0.747,0.7123,0.6546,0.652,0.2498,0.0011,0.0156,0.997260274,POINT (-145.4728034431503 63.275749951098625)
Gulkana,20210615,Sentinel-2_TOA,1,0.8676,0.877,0.8426,0.8529,0.8257,0.7869,0.7484,0.6939,0.6862,0.2642,0.0012,0.0164,0.997155724,POINT (-145.4705000211719 63.27572523478324)
Gulkana,20210615,Sentinel-2_TOA,1,0.8262,0.8854,0.8742,0.9079,0.8917,0.8538,0.8051,0.7454,0.7395,0.2551,0.001,0.018,0.997714808,POINT (-145.4617283086684 63.267327996857844)
Gulkana,20210615,Sentinel-2_TOA,1,0.8441,0.891,0.8847,0.9165,0.9,0.8624,0.8168,0.7484,0.7556,0.2649,0.001,0.0184,0.997741899,POINT (-145.46089357484308 63.26812979568276)
Gulkana,20210615,Sentinel-2_TOA,1,0.7792,0.8544,0.8403,0.8715,0.8371,0.8107,0.7674,0.7205,0.7086,0.2478,0.0011,0.0206,0.99738531,POINT (-145.4589294135393 63.26580582793841)
Gulkana,20210615,Sentinel-2_TOA,1,0.7951,0.8699,0.855,0.8928,0.8755,0.8474,0.8023,0.7386,0.7424,0.2539,0.001,0.0182,0.997663551,POINT (-145.46796700938177 63.265092532549176)
