site_name,image_date,image_product,class,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDSI,geometry
Gulkana,20210615,Sentinel-2_SR,1,0.8979,0.9712,0.9792,0.952,0.9678,0.8913,0.8169,0.7772,0.7278,0.7148,0.0184,0.0158,0.963111468,POINT (-145.48830926331598 63.29187241523917)
Gulkana,20210615,Sentinel-2_SR,1,0.8665,0.932,0.9344,0.9008,0.9049,0.8315,0.7636,0.7367,0.6875,0.6812,0.0182,0.0153,0.961788789,POINT (-145.48908085448372 63.292676706657474)
Gulkana,20210615,Sentinel-2_SR,1,0.7682,0.8968,0.8976,0.8776,0.8936,0.8342,0.7599,0.7192,0.6891,0.6671,0.0188,0.0158,0.958969882,POINT (-145.4906612100562 63.29290044257881)
Gulkana,20210615,Sentinel-2_SR,1,0.8764,0.9376,0.9488,0.9256,0.945,0.863,0.7873,0.7475,0.7099,0.7073,0.0171,0.0148,0.964592608,POINT (-145.4892405325145 63.29368149539619)
Gulkana,20210615,Sentinel-2_SR,1,0.8881,0.9064,0.9144,0.8976,0.9725,0.8916,0.8246,0.7428,0.7428,0.7753,0.0157,0.0131,0.966240189,POINT (-145.48680410482228 63.29561407008051)
Gulkana,20210615,Sentinel-2_SR,1,0.6697,0.8384,0.8288,0.8008,0.8284,0.7667,0.708,0.6593,0.6278,0.6128,0.0151,0.0129,0.964213769,POINT (-145.4876221215066 63.294858490150375)
Gulkana,20210615,Sentinel-2_SR,1,1.0474,1.3624,1.3832,1.368,1.4123,1.3508,1.2054,1.1432,1.0983,0.8874,0.0465,0.0403,0.934951388,POINT (-145.49757860410733 63.293776410509984)
Gulkana,20210615,Sentinel-2_SR,1,1.0474,1.1664,1.1576,1.124,1.1053,1.0142,0.9475,0.9449,0.8602,0.8874,0.0241,0.0194,0.959211306,POINT (-145.49826505830757 63.293509792913454)
Gulkana,20210615,Sentinel-2_SR,1,0.8038,0.8208,0.8,0.768,0.7857,0.7334,0.6861,0.6484,0.62,0.6525,0.0156,0.0155,0.961745954,POINT (-145.4995381563738 63.293047563790715)
Gulkana,20210615,Sentinel-2_SR,1,0.8573,0.9856,0.9744,0.9408,0.95,0.8711,0.7989,0.7696,0.7165,0.706,0.0173,0.0158,0.965110416,POINT (-145.4973207575854 63.292577384608656)
Gulkana,20210615,Sentinel-2_SR,1,0.8443,0.6944,0.6668,0.6432,0.6411,0.6013,0.5609,0.5268,0.5176,0.6973,0.0148,0.0119,0.95657277,POINT (-145.4959216535381 63.29176988966972)
Gulkana,20210615,Sentinel-2_SR,1,0.8585,1.0408,1.0528,1.0264,1.0474,0.9596,0.8895,0.8496,0.7958,0.75,0.0201,0.0167,0.962531457,POINT (-145.49473781795962 63.29236274968264)
Gulkana,20210615,Sentinel-2_SR,1,0.8776,0.9392,0.944,0.9256,0.9591,0.8828,0.8097,0.757,0.7233,0.7431,0.0222,0.0198,0.954046781,POINT (-145.49537319800191 63.2930757141472)
Gulkana,20210615,Sentinel-2_SR,1,0.9223,1.0832,1.1144,1.088,1.0964,1.0115,0.9311,0.9016,0.8323,0.8849,0.0256,0.0214,0.955087719,POINT (-145.4963757307425 63.293504283157105)
Gulkana,20210615,Sentinel-2_SR,1,0.9515,0.98,0.9824,0.952,0.9702,0.8985,0.8266,0.7727,0.7524,0.7351,0.0195,0.0165,0.961073959,POINT (-145.4974858124226 63.293098005276555)
Gulkana,20210615,Sentinel-2_SR,1,0.9326,1.0448,1.0528,1.0336,1.0422,0.9654,0.8918,0.8553,0.8047,0.7884,0.0214,0.0173,0.960156395,POINT (-145.49569281702372 63.29247372805911)
Gulkana,20210615,Sentinel-2_SR,1,0.9238,1.0528,1.0672,1.0536,1.0876,1.0003,0.924,0.8654,0.8208,0.8035,0.021,0.0167,0.961404154,POINT (-145.49257738666037 63.29141745647592)
Gulkana,20210615,Sentinel-2_SR,1,0.8335,1.0232,1.0368,1.0144,1.0196,0.9408,0.8675,0.8248,0.7712,0.739,0.0189,0.0167,0.964194373,POINT (-145.4905759889095 63.291108002334575)
Gulkana,20210615,Sentinel-2_SR,1,0.8613,0.904,0.9112,0.8744,0.8985,0.8286,0.7553,0.7083,0.6747,0.6729,0.0194,0.0148,0.958306469,POINT (-145.4876366294234 63.290975941423696)
