,geometry,Class,B2,B3,B4,B5,B6,B8,B11,B12,NDSI,image_date,site_name
139,POINT (-145.48632237774353 63.2820057483415),1,0.8866,0.9408,0.9456,0.9152,0.9358,0.8556,0.7891,0.7412,0.0876929302271807,20210615,Gulkana
140,POINT (-145.48511861576736 63.282522690813636),1,0.8925,0.9344,0.9408,0.908,0.9331,0.8583,0.7836,0.7396,0.0877764842840512,20210615,Gulkana
141,POINT (-145.48338409140553 63.282532116654075),1,0.8927,0.932,0.94,0.9104,0.934,0.8571,0.7882,0.7436,0.0835949308219974,20210615,Gulkana
142,POINT (-145.48231576486842 63.28282742997918),1,0.8988,0.9632,0.9648,0.9408,0.9617,0.8799,0.808,0.7716,0.087624209575429,20210615,Gulkana
143,POINT (-145.4804588969918 63.282807635939164),1,0.9,0.9616,0.9744,0.944,0.9743,0.8883,0.8165,0.7676,0.08160395928238,20210615,Gulkana
144,POINT (-145.47829696042976 63.28270091636087),1,0.8933,0.9568,0.9632,0.9392,0.9551,0.8804,0.8047,0.7684,0.0863468634686347,20210615,Gulkana
145,POINT (-145.4775749737412 63.283473870736344),1,0.8824,0.9232,0.94,0.916,0.9424,0.8665,0.7982,0.7496,0.0726153131172301,20210615,Gulkana
146,POINT (-145.47716685007273 63.28416653393793),1,0.8681,0.916,0.9192,0.8928,0.9147,0.8401,0.7721,0.7264,0.0852437651797879,20210615,Gulkana
147,POINT (-145.47651551850214 63.28477295248501),1,0.8579,0.9096,0.9128,0.8896,0.9046,0.8284,0.7611,0.7168,0.0888848985455198,20210615,Gulkana
148,POINT (-145.47855820861432 63.28479478149958),1,0.8617,0.916,0.9216,0.892,0.8985,0.8282,0.7599,0.7176,0.0931439823378483,20210615,Gulkana
149,POINT (-145.48084996788512 63.28479135629502),1,0.8679,0.9176,0.9192,0.888,0.905,0.8314,0.7635,0.7264,0.0916661709594908,20210615,Gulkana
150,POINT (-145.48277472102524 63.284700343336674),1,0.8738,0.9232,0.9248,0.8968,0.919,0.8373,0.7723,0.7256,0.0890002948982601,20210615,Gulkana
151,POINT (-145.48507817025455 63.284473927107705),1,0.8885,0.9344,0.9392,0.9072,0.9309,0.8487,0.7797,0.7323,0.0902514439064232,20210615,Gulkana
152,POINT (-145.48719150714294 63.28432909807004),1,0.905,0.9552,0.9592,0.928,0.9491,0.8687,0.8005,0.7496,0.088113003360483,20210615,Gulkana
153,POINT (-145.48997550805413 63.28438651428915),1,0.7689,0.8632,0.8544,0.82,0.8309,0.7623,0.6989,0.6728,0.105178925805006,20210615,Gulkana
154,POINT (-145.48892549217152 63.28314862074186),1,0.6952,0.748,0.774,0.7648,0.7884,0.7276,0.6743,0.6364,0.0518174787316318,20210615,Gulkana
155,POINT (-145.48705691696102 63.28335183621046),1,0.8969,0.9528,0.9504,0.9216,0.943,0.8612,0.7933,0.7428,0.0913464291850409,20210615,Gulkana
156,POINT (-145.4857999819378 63.283700934342036),1,0.8944,0.9512,0.9568,0.9304,0.9474,0.8709,0.7987,0.7552,0.0871478370192583,20210615,Gulkana
157,POINT (-145.48400348931477 63.28370970962996),1,0.8892,0.936,0.9432,0.9128,0.9347,0.8613,0.7865,0.7416,0.0867924528301887,20210615,Gulkana
158,POINT (-145.4820744109805 63.28388433547429),1,0.8863,0.9232,0.9336,0.8976,0.9152,0.8394,0.7701,0.7341,0.0904151656528671,20210615,Gulkana
159,POINT (-145.47952632759413 63.284052330305485),1,0.8658,0.9176,0.924,0.8944,0.9144,0.8412,0.7669,0.7246,0.089462748590086,20210615,Gulkana
160,POINT (-145.47944362192487 63.283270779843626),1,0.9075,0.9752,0.984,0.9608,0.9791,0.8988,0.8246,0.7781,0.0836759639959995,20210615,Gulkana
161,POINT (-145.4827241415224 63.28330575644334),1,0.8971,0.9584,0.9704,0.932,0.9573,0.8787,0.8063,0.7572,0.0861902873009576,20210615,Gulkana
162,POINT (-145.48527360296075 63.28310983876698),1,0.8939,0.9496,0.952,0.9208,0.937,0.8624,0.7907,0.7408,0.0913060966500029,20210615,Gulkana
163,POINT (-145.4873999770097 63.2827142176306),1,0.8622,0.9392,0.9376,0.9024,0.9345,0.8605,0.7888,0.7316,0.0870370370370371,20210615,Gulkana
164,POINT (-145.4703963268895 63.28454009852081),1,0.7335,0.8712,0.8944,0.8832,0.8997,0.8395,0.7695,0.7303,0.0619857377948436,20210615,Gulkana
165,POINT (-145.46799241668174 63.28549010595337),1,0.591,0.8576,0.8816,0.8616,0.8733,0.8043,0.7345,0.7105,0.077319263865335,20210615,Gulkana
166,POINT (-145.46841962391343 63.286777228262736),1,0.8041,0.8384,0.852,0.8264,0.8245,0.7615,0.7065,0.6863,0.0853776943491488,20210615,Gulkana
