geometry,Class,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,ST_B10,NDSI,image_date,site_name
POINT (-121.04152966500487 48.35253426338612),4,0.28633000000000003,0.29768750000000005,0.33800250000000004,0.3611575,0.41756000000000004,0.5679575,0.5203000000000001,1.2261425000000001,-0.2538246721709567,20210819,SouthCascade
POINT (-121.04130710839067 48.35155512302198),4,0.2936725,0.313995,0.362835,0.39569750000000004,0.43494000000000005,0.5563525,0.50105,1.2110175,-0.2105310396409873,20210819,SouthCascade
POINT (-121.04076028498872 48.35086179136181),4,0.280335,0.29865,0.3498275,0.381205,0.42383000000000004,0.49395500000000003,0.4391475,1.1877250000000001,-0.17081119838346967,20210819,SouthCascade
POINT (-121.04002436253326 48.35020669519773),4,0.2825075,0.30071250000000005,0.3431175,0.36632750000000003,0.39866750000000006,0.4759975,0.45402500000000007,1.179035,-0.16222386356006177,20210819,SouthCascade
POINT (-121.03931889671024 48.3494188055144),4,0.2448325,0.27120500000000003,0.32186000000000003,0.338855,0.3767225,0.45413500000000007,0.41789000000000004,1.1843700000000001,-0.17045857254234886,20210819,SouthCascade
POINT (-121.03843774787673 48.34895275019008),4,0.246235,0.2745325,0.3325575,0.3554375,0.3884925,0.47214750000000005,0.43582000000000004,1.19988,-0.1734672954685258,20210819,SouthCascade
POINT (-121.03719837594993 48.34929690963953),4,0.27043500000000004,0.2919125,0.32296,0.3500475,0.3947625,0.41659750000000006,0.37545750000000006,1.20021,-0.1266128732383892,20210819,SouthCascade
POINT (-121.03668889879495 48.348304226462375),4,0.24857250000000003,0.268015,0.31537000000000004,0.333575,0.41016250000000004,0.43235500000000004,0.38123250000000003,1.2257300000000002,-0.15645457888929754,20210819,SouthCascade
POINT (-121.03498011755862 48.3488148313748),4,0.26518250000000004,0.28666,0.33935000000000004,0.36003,0.39899750000000006,0.41800000000000004,0.39110500000000004,1.2291400000000001,-0.10384894698620187,20210819,SouthCascade
POINT (-121.0336934973576 48.349091414126036),4,0.2746425,0.3092925,0.37092,0.3773825,0.41349,0.49805250000000006,0.46989250000000005,1.2222650000000002,-0.14630209816766354,20210819,SouthCascade
POINT (-121.03347334174792 48.35049583916712),4,0.2848175,0.3138575,0.35959,0.3648425,0.39369000000000004,0.47676750000000007,0.44882750000000005,1.1975975,-0.14010456054976494,20210819,SouthCascade
POINT (-121.03521536970428 48.35131098035786),4,0.27962000000000004,0.30841250000000003,0.3591225,0.37136,0.38722750000000006,0.47982,0.45498750000000004,1.20164,-0.14386862031664865,20210819,SouthCascade
POINT (-121.03570461504832 48.35218663115508),4,0.2755225,0.30024500000000004,0.344905,0.35895750000000004,0.373945,0.47289000000000003,0.44797500000000007,1.2229525,-0.15650010088102764,20210819,SouthCascade
POINT (-121.03521437091396 48.35346947620002),4,0.286495,0.3028575,0.3278825,0.34372250000000004,0.394075,0.5251675,0.47030500000000003,1.1894300000000002,-0.23127014829142484,20210819,SouthCascade
POINT (-121.03531867458045 48.354279780288216),4,0.26504500000000003,0.27849250000000003,0.2926825,0.29832000000000003,0.33330000000000004,0.47261500000000006,0.43950500000000003,1.1890175,-0.23511444895612496,20210819,SouthCascade
POINT (-121.03588578146848 48.35478182470538),4,0.26807000000000003,0.28344250000000004,0.307835,0.31339,0.356015,0.5131225,0.47377,1.1887425,-0.2500586205741467,20210819,SouthCascade
POINT (-121.03648321328562 48.3554594368159),4,0.30214250000000004,0.3173225,0.35480500000000004,0.36715250000000005,0.3946525,0.5822575000000001,0.5464525,1.1831600000000002,-0.24272927366104186,20210819,SouthCascade
POINT (-121.0388336934702 48.35546889260765),4,0.248985,0.267685,0.303545,0.32414250000000006,0.35158750000000005,0.42718500000000004,0.392095,1.1953425000000002,-0.1692006623513473,20210819,SouthCascade
POINT (-121.03811822359683 48.35431409542978),4,0.2635325,0.2800325,0.3163325,0.3326675,0.37933500000000003,0.4812775,0.45663750000000003,1.2249875000000001,-0.20679906219831748,20210819,SouthCascade
POINT (-121.03713267579124 48.35303770720394),4,0.24983750000000002,0.274285,0.30896250000000003,0.32917500000000005,0.34776500000000005,0.44363,0.42080500000000004,1.2243000000000002,-0.17893813717250703,20210819,SouthCascade
POINT (-121.04269056105704 48.35503060686994),4,0.2578675,0.27673250000000005,0.326425,0.34597750000000005,0.3773825,0.45559250000000007,0.4086775,1.142625,-0.16517213489467952,20210819,SouthCascade
POINT (-121.04354491993715 48.355237804045814),4,0.29801750000000005,0.31845,0.356015,0.3854675,0.40779750000000003,0.46004750000000005,0.42028250000000006,1.13806,-0.12748104465037913,20210819,SouthCascade
POINT (-121.04446677941093 48.355629574589024),4,0.2813525,0.29518500000000003,0.339515,0.3653925,0.38992250000000006,0.47179000000000004,0.4269375,1.139545,-0.16303979391227716,20210819,SouthCascade
POINT (-121.04722935289426 48.35565465269667),4,0.284625,0.30742250000000004,0.35730750000000006,0.3849175,0.41087750000000006,0.489005,0.42963250000000003,1.1312125000000002,-0.15561332250203083,20210819,SouthCascade
POINT (-121.04791851554533 48.35470034644754),4,0.26427500000000004,0.29037250000000003,0.345015,0.37397250000000004,0.40639500000000006,0.48039750000000003,0.41890750000000004,1.1319275000000002,-0.16401799100449774,20210819,SouthCascade
POINT (-121.0484826914361 48.353743771519596),4,0.2646875,0.2845975,0.34416250000000004,0.37185500000000005,0.41382,0.48237750000000007,0.42933000000000004,1.143285,-0.1672211871173809,20210819,SouthCascade
